% This MetaLexicon was created by taking the union of the following manually created lexical resources:
%
%   1. AFINN
%   2. NRC Word-Emotion Association Lexicon (words with no emotion associations are taken as neutral)
%   3. Bing Liu's Opinion Lexicon
%   4. MPQA Subjectivity Lexicon
%
% We discarded all the words where a polarity clash between two or more lexicons was observed.

@relation 'MetaLex'

@attribute term string
@attribute polarity {negative,neutral,positive}

@data
advisable,positive
advise,positive
advisement,neutral
adviser,positive
advocacy,positive
advocate,positive
advocated,positive
advocates,positive
aegis,neutral
aeration,neutral
aerial,neutral
aerodrome,neutral
aerodynamics,neutral
aeronautics,neutral
aeroplane,neutral
aesthetic,positive
aesthetics,positive
aetiology,neutral
afar,neutral
affability,positive
affable,positive
affably,positive
affair,neutral
affect,neutral
affecting,neutral
affection,positive
affectionate,positive
affections,neutral
affiche,neutral
affidavit,neutral
affiliated,positive
affiliation,neutral
affirm,positive
affirmation,positive
affirmative,positive
affirmatively,positive
affix,neutral
afflict,negative
afflicted,negative
affliction,negative
afflictive,negative
affluence,positive
affluent,positive
afford,positive
affordable,positive
affordably,positive
affront,negative
affronted,negative
afield,neutral
afloat,positive
afordable,positive
afore,neutral
aforementioned,neutral
aforesaid,neutral
afraid,negative
afresh,neutral
aft,neutral
aftermath,negative
afternoon,neutral
aftertaste,negative
afterthought,neutral
aga,positive
against,negative
agate,neutral
age,neutral
aged,neutral
agency,neutral
agent,neutral
agglomeration,neutral
aggravate,negative
aggravated,negative
aggravates,negative
aggravating,negative
aggravation,negative
aggregate,neutral
aggregation,neutral
aggression,negative
aggressions,negative
aggressive,negative
aggressiveness,negative
aggressor,negative
aggrieve,negative
aggrieved,negative
aggrivation,negative
aghast,negative
agile,positive
agilely,positive
agility,positive
agitate,negative
agitated,negative
agitation,negative
agitator,negative
agnostic,neutral
ago,neutral
agog,positive
agonies,negative
agonise,negative
agonised,negative
agonises,negative
agonising,negative
agonize,negative
agonized,negative
agonizes,negative
agonizing,negative
agonizingly,negative
agony,negative
agree,positive
agreeability,positive
agreeable,positive
agreeableness,positive
agreeably,positive
agreed,positive
agreeing,positive
agreement,positive
agrees,positive
agricultural,neutral
agriculture,positive
aground,negative
agua,neutral
aha,neutral
ahead,positive
aid,positive
aiding,positive
ail,negative
ailing,negative
aim,neutral
aimless,negative
air,neutral
airbag,neutral
airlift,neutral
airline,neutral
airman,neutral
airplane,neutral
airs,negative
airship,neutral
aisle,neutral
ait,neutral
ajar,neutral
alabaster,positive
alarm,negative
alarmed,negative
alarming,negative
alarmingly,negative
alarmist,negative
alarmists,negative
alas,negative
album,neutral
alchemy,neutral
alcohol,neutral
alcoholism,negative
alcove,neutral
alertness,positive
alfalfa,neutral
algebra,neutral
algebraic,neutral
algorithm,neutral
alibi,neutral
alien,negative
alienate,negative
alienated,negative
alienation,negative
alight,neutral
aligned,neutral
alignment,neutral
alike,neutral
alimentation,positive
alimony,negative
aliquot,neutral
alive,positive
alkali,neutral
alkaloids,neutral
all-around,positive
all-time,neutral
allay,positive
allegation,negative
allegations,negative
allege,negative
alleged,neutral
allegiance,positive
allegorical,neutral
allegorize,neutral
allegory,neutral
allegro,positive
allergic,negative
allergies,negative
allergy,negative
alleviate,positive
alleviation,positive
alley,neutral
alliance,neutral
alliances,neutral
allied,positive
alligator,neutral
allocate,neutral
allocation,neutral
allot,neutral
allotment,neutral
allow,positive
allowable,positive
allowance,neutral
allowed,neutral
alloy,neutral
allure,positive
alluring,positive
alluringly,positive
allusion,neutral
allusions,neutral
alluvial,neutral
ally,positive
almanac,neutral
almighty,positive
aloft,neutral
aloha,positive
alone,negative
alongside,neutral
aloof,negative
aloud,neutral
alphabet,neutral
alphabetical,neutral
altar,neutral
alter,neutral
alteration,neutral
altercation,negative
altered,neutral
alternate,neutral
alternative,neutral
although,negative
altitude,neutral
alto,neutral
altogether,neutral
altruist,positive
altruistic,positive
altruistically,positive
alumnus,neutral
alveolar,neutral
amalgam,neutral
amalgamation,neutral
amass,neutral
amateur,neutral
amaze,positive
amazed,positive
amazes,positive
amazing,positive
amazingly,positive
ambassador,positive
amber,neutral
ambient,neutral
ambiguous,negative
ambit,neutral
ambition,positive
ambitiously,positive
ambivalence,negative
ambivalent,negative
ambush,negative
ameliorate,positive
amen,positive
amenable,positive
amend,positive
amendment,neutral
amends,positive
amenity,positive
amethyst,neutral
amiability,positive
amiabily,positive
amiable,positive
amicability,positive
amicable,positive
amicably,positive
amid,neutral
amidst,neutral
amiss,negative
amity,positive
ammunition,neutral
amnesia,negative
amnesty,positive
amorphous,neutral
amount,neutral
amour,positive
ampersand,neutral
amphetamines,negative
amphibian,neutral
amphibious,neutral
amphitheater,neutral
ample,positive
amplification,neutral
amplify,neutral
amplitude,neutral
amputate,negative
amputation,neutral
amulet,neutral
amuse,positive
amused,positive
amusement,positive
amusements,positive
amusing,positive
amusingly,positive
ana,neutral
anaconda,negative
anaesthesia,neutral
anaesthetic,neutral
anal,negative
analgesic,neutral
analogous,neutral
analogue,neutral
analogy,neutral
analysis,neutral
analyst,positive
analytic,neutral
analytical,neutral
analyze,neutral
analyzer,neutral
anarchism,negative
anarchist,negative
anarchistic,negative
anarchy,negative
anastomosis,neutral
anathema,negative
anatomic,neutral
anatomy,neutral
ancestor,neutral
ancestry,neutral
anchor,positive
anchorage,positive
ancient,negative
ancillary,neutral
androgen,neutral
anemic,negative
anemone,neutral
anew,neutral
angel,positive
angelic,positive
anger,negative
angers,negative
angina,negative
angiography,neutral
angle,neutral
angling,negative
angrily,negative
angriness,negative
angry,negative
anguish,negative
anguished,negative
angular,neutral
anhydrous,neutral
animal,neutral
animate,positive
animated,positive
animation,neutral
animosity,negative
animus,negative
ankle,neutral
annals,neutral
annex,neutral
annexation,neutral
annexe,neutral
annihilate,negative
annihilated,negative
annihilation,negative
annotate,neutral
annotation,neutral
announce,neutral
annoy,negative
annoyance,negative
annoyances,negative
annoyed,negative
annoying,negative
annoyingly,negative
annoys,negative
annuity,neutral
annul,negative
annular,neutral
annulment,negative
annulus,neutral
anointing,neutral
anomaly,negative
anon,neutral
anonymous,negative
answer,neutral
answering,neutral
ant,neutral
antagonism,negative
antagonist,negative
antagonistic,negative
antagonize,negative
ante,neutral
antecedent,neutral
antelope,neutral
antenna,neutral
anterior,neutral
anthem,neutral
anthology,neutral
anthrax,negative
anthropology,neutral
anti,negative
anti-,negative
anti-American,negative
anti-Israeli,negative
anti-Semites,negative
anti-US,negative
anti-american,negative
anti-israeli,negative
anti-occupation,negative
anti-proliferation,negative
anti-semites,negative
anti-social,negative
anti-us,negative
anti-white,negative
antibiotic,neutral
antibiotics,positive
antichrist,negative
anticipation,positive
antidote,positive
antifungal,positive
antimony,neutral
antipathy,negative
antiquarian,neutral
antiquated,negative
antique,positive
antiquity,neutral
antiseptic,positive
antisocial,negative
antithesis,negative
antiviral,neutral
antler,neutral
anvil,neutral
anxieties,negative
anxiety,negative
anxious,negative
anxiously,negative
anxiousness,negative
anyhow,neutral
anyway,neutral
anyways,neutral
aorta,neutral
apace,neutral
apache,negative
apartment,neutral
apathetic,negative
apathetically,negative
apathy,negative
aperture,neutral
apeshit,negative
apex,neutral
aphid,negative
apiece,neutral
aplomb,positive
apocalypse,negative
apologetic,positive
apologise,negative
apologised,negative
apologises,negative
apologising,negative
apologists,negative
apologized,negative
apologizes,negative
apologizing,negative
apostasy,neutral
apostate,neutral
apostle,positive
apostrophe,neutral
apotheosis,positive
appal,negative
appall,negative
appalled,negative
appalling,negative
appallingly,negative
apparatus,neutral
apparel,neutral
apparent,neutral
apparently,neutral
appeal,positive
appealing,positive
appear,neutral
appearance,neutral
appeased,positive
appeases,positive
appeasing,positive
appellant,neutral
append,neutral
appendage,neutral
appendicitis,negative
appendix,neutral
appetite,neutral
appetizer,neutral
applaud,positive
applauded,positive
applauding,positive
applauds,positive
applause,positive
apple,neutral
appliance,neutral
appliances,neutral
applicability,neutral
applicable,neutral
application,neutral
apply,neutral
appoint,neutral
appointment,neutral
appointments,neutral
apportion,neutral
apportionment,neutral
appraise,neutral
appreciate,positive
appreciated,positive
appreciates,positive
appreciating,positive
appreciation,positive
appreciative,positive
appreciatively,positive
appreciativeness,positive
apprehend,neutral
apprehension,negative
apprehensions,negative
apprehensive,negative
apprehensively,negative
apprenticeship,neutral
approach,neutral
approbation,positive
appropriate,positive
appropriation,negative
approval,positive
approve,positive
approved,positive
approves,positive
approving,positive
approximate,neutral
approximately,neutral
approximating,neutral
approximation,neutral
appurtenances,neutral
apron,neutral
apt,positive
aptitude,positive
aptly,positive
aqua,neutral
aquamarine,neutral
aquarium,neutral
aquatic,neutral
aqueduct,neutral
aqueous,neutral
arable,neutral
arbitrary,negative
arbitrate,neutral
arbor,neutral
arc,neutral
arcade,neutral
arcane,negative
arch,neutral
archaeological,neutral
archaeologist,neutral
archaeology,positive
archaic,negative
archbishop,neutral
arched,neutral
archer,neutral
archery,neutral
archetype,neutral
archipelago,neutral
architect,neutral
archive,neutral
arctic,neutral
ardent,positive
ardently,positive
ardor,positive
arduous,negative
arduously,negative
area,neutral
arena,neutral
areola,neutral
argent,neutral
argue,negative
argument,negative
argumentative,negative
arguments,negative
arid,negative
aristocracy,positive
aristocrat,neutral
aristocratic,positive
arithmetic,neutral
ark,neutral
arm,neutral
armada,neutral
armaments,negative
armature,neutral
armor,positive
arms,neutral
army,neutral
aroma,positive
arouse,positive
arousing,positive
arraignment,negative
arrange,neutral
arranged,neutral
arrangement,neutral
array,positive
arrears,negative
arrest,negative
arrested,negative
arresting,positive
arrests,negative
arrogance,negative
arrogant,negative
arrogantly,negative
arrow,neutral
arsenal,neutral
arsenic,negative
arson,negative
art,positive
artery,neutral
artful,neutral
arthropod,neutral
artichoke,neutral
article,neutral
articles,neutral
articulate,positive
articulation,positive
artifice,neutral
artificial,negative
artillery,negative
artisan,positive
artist,neutral
artiste,positive
artistic,positive
artists,neutral
ascend,neutral
ascendancy,positive
ascendant,positive
ascension,neutral
ascent,positive
ascertain,neutral
ascertainable,positive
ascertained,neutral
ascetic,neutral
ash,negative
ashame,negative
ashamed,negative
ashes,negative
asinine,negative
asininely,negative
asinininity,negative
askance,negative
asleep,neutral
aspartame,neutral
aspect,neutral
aspects,neutral
asperse,negative
aspersion,negative
aspersions,negative
asphalt,neutral
aspiration,positive
aspirations,positive
aspire,positive
aspiring,positive
ass,negative
assail,negative
assailant,negative
assassin,negative
assassinate,negative
assassination,negative
assassinations,negative
assault,negative
assay,neutral
assemblage,neutral
assemble,neutral
assembled,neutral
assembly,positive
assent,positive
assert,neutral
asserting,positive
assertion,neutral
assertions,positive
assertive,positive
assess,neutral
assessment,neutral
assessments,neutral
asset,positive
assets,positive
assfucking,negative
asshole,negative
assiduous,positive
assiduously,positive
assign,neutral
assignment,neutral
assimilate,neutral
assimilation,neutral
assist,positive
assistance,positive
assistant,neutral
associate,positive
assorted,neutral
assortment,neutral
assuage,positive
assult,negative
assumed,neutral
assuming,neutral
assumption,neutral
assurance,positive
assurances,positive
assure,positive
assured,positive
assuredly,positive
assuring,positive
asterisk,neutral
asteroids,neutral
astigmatism,neutral
astonish,positive
astonished,positive
astonishing,positive
astonishingly,positive
astonishment,positive
astound,positive
astounded,positive
astounding,positive
astoundingly,positive
astounds,positive
astral,neutral
astray,negative
astringent,negative
astrologer,positive
astrology,neutral
astronaut,positive
astronomer,positive
astronomic,neutral
astronomical,neutral
astronomically,neutral
astronomy,neutral
astute,positive
astutely,positive
asymmetric,neutral
asymptotic,neutral
atelier,neutral
atheism,negative
atheist,neutral
atheistic,neutral
atherosclerosis,negative
athlete,positive
athletic,positive
athleticism,neutral
athletics,neutral
atlas,neutral
atmosphere,neutral
atmospheric,neutral
atoll,neutral
atom,positive
atomic,neutral
atone,positive
atonement,positive
atrium,neutral
atrocious,negative
atrocities,negative
atrocity,negative
atrophy,negative
attach,neutral
attachment,positive
attack,negative
attacked,negative
attacking,negative
attacks,negative
attainable,positive
attainment,positive
attendant,positive
attention,positive
attentive,positive
attenuate,neutral
attenuated,negative
attenuation,negative
attest,positive
attic,neutral
attire,neutral
attitude,neutral
attitudes,neutral
attorney,positive
attract,positive
attracted,positive
attracting,positive
attraction,positive
attractions,positive
attractive,positive
attractively,positive
attractiveness,positive
attracts,positive
attributable,neutral
attribute,neutral
attribution,neutral
attrition,neutral
attune,positive
auburn,neutral
auctioneer,neutral
audaciously,negative
audaciousness,negative
audacity,negative
audibly,positive
audiciously,negative
audit,neutral
audition,neutral
auditorium,neutral
auditory,neutral
aught,neutral
augment,positive
augmentation,neutral
august,positive
aunt,positive
aura,positive
aurora,neutral
auspices,neutral
auspicious,positive
austere,negative
austerity,negative
authentic,positive
authenticity,positive
author,positive
authoritarian,negative
authoritative,positive
authority,positive
authorization,positive
authorized,positive
authorship,neutral
auto,neutral
autobiography,neutral
autocrat,negative
autocratic,negative
autograph,neutral
automobile,neutral
autonomous,positive
autonomy,neutral
autopsy,negative
autumn,neutral
auxiliary,neutral
avail,neutral
available,positive
avalanche,negative
avarice,negative
avaricious,negative
avariciously,negative
avatar,positive
avenge,negative
avenger,negative
avenue,neutral
average,neutral
averse,negative
aversion,negative
averted,negative
averts,negative
aviary,neutral
aviation,neutral
aviator,neutral
avidly,positive
avocado,neutral
avoid,negative
avoidance,negative
avoided,negative
avoids,negative
await,negative
awaited,negative
awaits,negative
awake,neutral
awaken,neutral
award,positive
awarded,positive
awards,positive
aware,neutral
awareness,neutral
awed,positive
aweful,negative
awesome,positive
awesomely,positive
awesomeness,positive
awestruck,positive
awful,negative
awfully,negative
awfulness,negative
awkward,negative
awkwardness,negative
awning,neutral
awry,negative
awsome,positive
ax,negative
axe,negative
axed,negative
axial,neutral
axis,neutral
axle,neutral
ay,positive
aye,positive
azimuth,neutral
azure,neutral
babble,negative
babbling,negative
baboon,negative
baccalaureate,positive
baccarat,neutral
bachelor,neutral
back-logged,negative
back-wood,negative
back-woods,negative
backache,negative
backaches,negative
backaching,negative
backbite,negative
backbiting,negative
backbone,positive
backed,positive
backfire,neutral
backgammon,neutral
background,neutral
backhoe,neutral
backing,positive
backpacker,neutral
backs,positive
backtrack,neutral
backward,negative
backwardness,negative
backwards,negative
backwater,negative
backwood,negative
backwoods,negative
bacteria,negative
bacterium,negative
bad,negative
badass,negative
badger,negative
badly,negative
badness,negative
baffled,negative
bafflement,negative
baffling,negative
bag,neutral
baggage,neutral
baggy,neutral
bagpipes,neutral
bail,neutral
bailiff,negative
bailout,negative
bait,negative
bake,neutral
bakery,neutral
baking,neutral
bal,neutral
balance,positive
balanced,positive
balcony,neutral
bald,neutral
bale,negative
balk,negative
ball,neutral
ballad,positive
ballast,neutral
ballet,positive
balloon,neutral
ballot,positive
ballroom,neutral
balmy,neutral
balsam,positive
balsamic,neutral
bamboozle,negative
bamboozled,negative
bamboozles,negative
ban,negative
banal,negative
banalize,negative
banana,neutral
band,neutral
bandage,neutral
bandit,negative
bandwagon,neutral
bane,negative
bang,negative
banger,negative
banish,negative
banished,negative
banishment,negative
banjo,neutral
bankrupt,negative
bankruptcy,negative
bankster,negative
banned,negative
banner,neutral
banquet,positive
banshee,negative
banter,neutral
baptism,positive
baptismal,positive
barb,negative
barbarian,negative
barbaric,negative
barbarically,negative
barbarism,negative
barbarity,negative
barbarous,negative
barbarously,negative
barbecue,neutral
barbed,neutral
bard,positive
bareback,neutral
barefoot,neutral
bargain,positive
barge,neutral
baritone,neutral
bark,negative
barn,neutral
barney,neutral
barometer,neutral
baron,neutral
baroque,neutral
barrack,neutral
barred,negative
barrel,neutral
barren,negative
barricade,negative
barrier,negative
barring,neutral
barrister,neutral
baseball,neutral
baseboard,neutral
baseless,negative
basement,neutral
bash,negative
bashed,negative
bashful,negative
bashing,negative
basic,positive
basically,neutral
basilica,neutral
basin,neutral
basis,neutral
basket,neutral
basketball,positive
bass,neutral
basso,neutral
bassoon,neutral
bastard,negative
bastards,negative
bastion,positive
bat,neutral
batch,neutral
batching,neutral
bate,neutral
bath,positive
bathe,neutral
bathroom,neutral
bathymetry,neutral
baton,neutral
batons,neutral
batter,negative
battered,negative
battering,negative
battery,negative
battle,negative
battle-lines,negative
battled,negative
battlefield,negative
battleground,negative
battles,negative
batty,negative
bawdy,negative
bay,neutral
bayonet,negative
bayou,neutral
bazaar,neutral
bead,neutral
beading,neutral
beads,neutral
beagle,neutral
beak,neutral
beaker,neutral
beam,positive
beaming,positive
beard,neutral
bearded,neutral
bearer,negative
bearing,neutral
bearings,neutral
bearish,negative
beast,negative
beastly,negative
beat,neutral
beaten,negative
beatific,positive
beatify,positive
beating,negative
beau,neutral
beauteous,positive
beauties,positive
beautification,positive
beautiful,positive
beautifullly,positive
beautifully,positive
beautify,positive
beauty,positive
beck,neutral
beckoned,positive
beckoning,positive
beckons,positive
bed,neutral
bedding,neutral
bedlam,negative
bedlamite,negative
bedrock,positive
bedroom,neutral
bedtime,neutral
beef,neutral
beehive,neutral
beer,positive
beeswax,neutral
beetle,neutral
befall,negative
befit,positive
befitting,positive
befoul,negative
befriend,positive
beg,negative
beggar,negative
beggarly,negative
begging,negative
begin,neutral
beginner,neutral
beginning,neutral
beguile,negative
behavior,neutral
behemoth,negative
behest,neutral
behold,neutral
beholden,negative
beholder,neutral
belabor,negative
belated,negative
belay,neutral
beleaguer,negative
belie,negative
belief,neutral
beliefs,neutral
believable,positive
believe,neutral
believeable,positive
believing,positive
belittle,negative
belittled,negative
belittling,negative
bell,neutral
bellicose,negative
belligerence,negative
belligerent,negative
belligerently,negative
bellow,neutral
belly,neutral
belongings,neutral
beloved,positive
belt,negative
bemoan,negative
bemoaning,negative
bench,neutral
bend,neutral
bender,negative
bending,neutral
beneath,neutral
benefactor,positive
beneficent,positive
beneficial,positive
beneficially,positive
benefit,positive
benefits,positive
benefitted,positive
benefitting,positive
benevolence,positive
benevolent,positive
benifits,positive
benign,positive
benzene,neutral
bequeath,neutral
berate,negative
bereave,negative
bereaved,negative
bereavement,negative
bereaves,negative
bereaving,negative
bereft,negative
bergamot,neutral
berlin,neutral
berserk,negative
berth,positive
besides,neutral
besiege,negative
besmirch,negative
best,positive
best-known,positive
best-performing,positive
best-selling,positive
bestial,negative
bestow,neutral
bet,neutral
betray,negative
betrayal,negative
betrayals,negative
betrayed,negative
betrayer,negative
betraying,negative
betrays,negative
betrothed,positive
better,positive
better-known,positive
better-than-expected,positive
betterment,positive
betting,neutral
betty,neutral
beutifully,positive
bevel,neutral
beverage,positive
bevy,neutral
bewail,negative
beware,negative
bewilder,negative
bewildered,negative
bewildering,negative
bewilderingly,negative
bewilderment,negative
bewitch,negative
bias,negative
biased,negative
biases,negative
bib,neutral
biblical,positive
bibliography,neutral
bicker,negative
bickering,negative
bicolor,neutral
bicycle,neutral
bid,neutral
bid-rigging,negative
bidder,neutral
bidding,neutral
bier,negative
bifurcation,neutral
bigot,negative
bigoted,negative
bigotries,negative
bigotry,negative
bike,neutral
bilateral,neutral
bilayer,neutral
bile,negative
bilge,neutral
bilingual,positive
bill,neutral
billet,neutral
billiards,neutral
billion,neutral
billy,neutral
bimonthly,neutral
bin,neutral
binary,neutral
bind,neutral
bindery,neutral
binding,neutral
bing,neutral
binocular,neutral
binoculars,neutral
binomial,neutral
biogenesis,neutral
biographer,neutral
biography,neutral
biology,neutral
biopsy,negative
biosphere,neutral
bipartite,neutral
birch,negative
bird,neutral
birth,positive
birthday,positive
birthplace,negative
birthright,neutral
bis,neutral
bisexual,neutral
bishop,neutral
bison,neutral
bit,neutral
bitch,negative
bitches,negative
bitchy,negative
bite,negative
biting,negative
bitingly,negative
bitter,negative
bitterly,negative
bitterness,negative
bitumen,neutral
biweekly,neutral
bizarre,negative
blab,negative
blabber,negative
black,negative
blackberry,neutral
blackboard,neutral
blackjack,negative
blackmail,negative
blackness,negative
blacksmith,neutral
bladder,neutral
blade,neutral
blah,negative
blame,negative
blamed,negative
blameless,positive
blames,negative
blameworthy,negative
blaming,negative
bland,negative
blandish,negative
blank,neutral
blaspheme,negative
blasphemous,negative
blasphemy,negative
blast,negative
blasted,negative
blatant,negative
blatantly,negative
blather,negative
blaze,negative
blazing,neutral
bleach,neutral
bleak,negative
bleakly,negative
bleakness,negative
bleed,negative
bleeding,negative
bleeds,negative
blemish,negative
blend,neutral
blending,neutral
bless,positive
blessed,positive
blesses,positive
blessing,positive
blessings,positive
blight,negative
blighted,negative
blind,negative
blinded,negative
blindfolded,neutral
blinding,negative
blindingly,negative
blindly,negative
blindness,negative
blindside,negative
blink,neutral
bliss,positive
blissful,positive
blissfully,positive
blister,negative
blistering,negative
blithe,positive
blizzard,neutral
bloated,negative
blob,negative
blockade,negative
blockage,negative
blockbuster,positive
blocked,negative
blockhead,negative
blocking,negative
blocks,negative
blond,neutral
bloodhound,neutral
bloodless,positive
bloodshed,negative
bloodthirsty,negative
bloody,negative
bloom,positive
blossom,positive
blot,negative
blotchy,negative
blouse,neutral
blow,negative
blower,negative
blowing,neutral
blown,neutral
blowout,negative
blues,negative
bluff,negative
bluish,neutral
blunder,negative
blundering,negative
blunders,negative
blur,negative
bluring,negative
blurred,negative
blurring,negative
blurry,negative
blurs,negative
blurt,negative
blush,negative
blushing,neutral
boa,neutral
